Timestamp, JOINT_WRIST_x_R, JOINT_WRIST_y_R, JOINT_WRIST_z_R, JOINT_CENTER_x_R, JOINT_CENTER_y_R, JOINT_CENTER_z_R, JOINT_THUMB_BASE_x_R, JOINT_THUMB_BASE_y_R, JOINT_THUMB_BASE_z_R, JOINT_THUMB_JT1_x_R, JOINT_THUMB_JT1_y_R, JOINT_THUMB_JT1_z_R, JOINT_THUMB_JT2_x_R, JOINT_THUMB_JT2_y_R, JOINT_THUMB_JT2_z_R, JOINT_THUMB_TIP_x_R, JOINT_THUMB_TIP_y_R, JOINT_THUMB_TIP_z_R, JOINT_INDEX_BASE_x_R, JOINT_INDEX_BASE_y_R, JOINT_INDEX_BASE_z_R, JOINT_INDEX_JT1_x_R, JOINT_INDEX_JT1_y_R, JOINT_INDEX_JT1_z_R, JOINT_INDEX_JT2_x_R, JOINT_INDEX_JT2_y_R, JOINT_INDEX_JT2_z_R, JOINT_INDEX_TIP_x_R, JOINT_INDEX_TIP_y_R, JOINT_INDEX_TIP_z_R, JOINT_MIDDLE_BASE_x_R, JOINT_MIDDLE_BASE_y_R, JOINT_MIDDLE_BASE_z_R, JOINT_MIDDLE_JT1_x_R, JOINT_MIDDLE_JT1_y_R, JOINT_MIDDLE_JT1_z_R, JOINT_MIDDLE_JT2_x_R, JOINT_MIDDLE_JT2_y_R, JOINT_MIDDLE_JT2_z_R, JOINT_MIDDLE_TIP_x_R, JOINT_MIDDLE_TIP_y_R, JOINT_MIDDLE_TIP_z_R, JOINT_RING_BASE_x_R, JOINT_RING_BASE_y_R, JOINT_RING_BASE_z_R, JOINT_RING_JT1_x_R, JOINT_RING_JT1_y_R, JOINT_RING_JT1_z_R, JOINT_RING_JT2_x_R, JOINT_RING_JT2_y_R, JOINT_RING_JT2_z_R, JOINT_RING_TIP_x_R, JOINT_RING_TIP_y_R, JOINT_RING_TIP_z_R, JOINT_PINKY_BASE_x_R, JOINT_PINKY_BASE_y_R, JOINT_PINKY_BASE_z_R, JOINT_PINKY_JT1_x_R, JOINT_PINKY_JT1_y_R, JOINT_PINKY_JT1_z_R, JOINT_PINKY_JT2_x_R, JOINT_PINKY_JT2_y_R, JOINT_PINKY_JT2_z_R, JOINT_PINKY_TIP_x_R, JOINT_PINKY_TIP_y_R, JOINT_PINKY_TIP_z_R
131029684362451758, 85.13455, 394.9507, 0, 77.01854, 399.3436, 0, 104.0125, 395.2633, 0, 112.2241, 418.4482, 0, 95.90952, 453.5815, 0, 74.14641, 472.3845, 0, 99.05989, 403.3447, 0, 92.42474, 453.8207, 0, 88.9476, 449.4618, 0, 89.47232, 427.9742, 0, 67.83339, 404.3152, 0, 62.74319, 461.076, 0, 68.95842, 452.7692, 0, 73.03499, 430.6132, 0, 42.74149, 404.5142, 0, 37.651, 448.5522, 0, 34.53259, 472.0567, 0, 34.7702, 467.7971, 0, 16.33936, 403.6792, 0, 26.81555, 442.6902, 0, 34.53979, 435.068, 0, 34.72528, 418.5948, 0
131029684367132555, 84.62758, 394.9507, 0, 76.46678, 399.3436, 0, 103.5023, 395.2633, 0, 111.6815, 418.4482, 0, 94.55658, 453.4394, 0, 72.55055, 471.7058, 0, 98.46733, 403.3447, 0, 91.82808, 453.8207, 0, 88.37592, 449.4618, 0, 88.91637, 427.9742, 0, 67.23094, 404.3152, 0, 62.13452, 461.076, 0, 68.38689, 452.7692, 0, 72.47974, 430.6132, 0, 42.13705, 404.5142, 0, 36.99402, 448.5522, 0, 33.8829, 472.0567, 0, 34.14801, 467.7971, 0, 15.74341, 403.6792, 0, 23.61301, 444.4944, 0, 31.78534, 438.543, 0, 32.99191, 422.2093, 0
131029684367466898, 84.90988, 394.5721, 0, 76.92172, 398.8667, 0, 103.7265, 395.042, 0, 112.2785, 418.5545, 0, 95.42683, 453.4643, 0, 73.45883, 471.3665, 0, 98.95735, 403.0232, 0, 82.96544, 413.7837, 0, 75.47803, 442.6366, 0, 74.67204, 467.1398, 0, 67.88905, 403.7228, 0, 57.33829, 416.5845, 0, 50.95715, 455.427, 0, 52.51715, 468.7613, 0, 42.91238, 403.7086, 0, 45.29831, 415.863, 0, 41.98996, 443.4195, 0, 37.646, 470.1966, 0, 16.60226, 402.6579, 0, 18.68359, 413.6045, 0, 15.31915, 435.5756, 0, 12.23972, 449.6976, 0
131029684367968412, 86.39595, 395.9622, 0, 78.38811, 399.9868, 0, 104.9813, 397.0884, 0, 114.3034, 428.8721, 0, 93.60391, 462.3379, 0, 72.58136, 473.9074, 0, 103.2544, 410.5534, 0, 85.09241, 420.0137, 0, 74.61424, 445.5248, 0, 72.09457, 470.2613, 0, 69.33972, 404.5342, 0, 58.69437, 418.1268, 0, 49.62677, 456.866, 0, 50.22769, 470.4503, 0, 44.71527, 403.6461, 0, 46.99524, 416.6502, 0, 41.72305, 444.1727, 0, 35.51102, 470.9282, 0, 21.88199, 399.7119, 0, 21.22717, 412.7296, 0, 16.30154, 434.5787, 0, 12.25827, 448.5916, 0
131029684368469926, 87.64211, 396.7922, 0, 81.67857, 401.9701, 0, 106.1373, 398.2379, 0, 121.9047, 425.2446, 0, 109.1257, 459.9838, 0, 88.26051, 479.1745, 0, 104.9492, 410.1962, 0, 86.2012, 416.3866, 0, 77.56366, 442.7599, 0, 73.06487, 469.7587, 0, 75.26256, 406.8427, 0, 60.67801, 418.5233, 0, 50.9968, 457.2328, 0, 51.23816, 470.929, 0, 46.8938, 404.0519, 0, 48.9743, 416.897, 0, 43.32611, 444.3831, 0, 36.64072, 471.1517, 0, 21.28983, 401.4081, 0, 23.25983, 412.63, 0, 17.9921, 434.446, 0, 13.64993, 448.4624, 0
131029684368637098, 89.62231, 407.5809, 0, 80.41699, 401.9981, 0, 108.3745, 407.5853, 0, 93.65442, 431.2195, 0, 78.03622, 447.465, 0, 64.99579, 451.346, 0, 107.345, 381.9188, 0, 103.3441, 429.2646, 0, 101.1096, 455.7067, 0, 98.92157, 481.6002, 0, 76.54216, 384.7704, 0, 69.94286, 428.3735, 0, 65.41231, 458.3081, 0, 63.33955, 485.2787, 0, 50.98877, 389.619, 0, 49.01663, 416.6438, 0, 42.37469, 444.4708, 0, 39.86136, 453.5553, 0, 25.29913, 399.2775, 0, 27.37689, 413.4205, 0, 18.85553, 434.6913, 0, 14.18683, 448.5098, 0
