Timestamp, JOINT_WRIST_Angle_x_R, JOINT_WRIST_Angle_y_R, JOINT_WRIST_Angle_z_R, JOINT_WRIST_Angle_w_R, JOINT_CENTER_Angle_x_R, JOINT_CENTER_Angle_y_R, JOINT_CENTER_Angle_z_R, JOINT_CENTER_Angle_w_R, JOINT_THUMB_BASE_Angle_x_R, JOINT_THUMB_BASE_Angle_y_R, JOINT_THUMB_BASE_Angle_z_R, JOINT_THUMB_BASE_Angle_w_R, JOINT_THUMB_JT1_Angle_x_R, JOINT_THUMB_JT1_Angle_y_R, JOINT_THUMB_JT1_Angle_z_R, JOINT_THUMB_JT1_Angle_w_R, JOINT_THUMB_JT2_Angle_x_R, JOINT_THUMB_JT2_Angle_y_R, JOINT_THUMB_JT2_Angle_z_R, JOINT_THUMB_JT2_Angle_w_R, JOINT_THUMB_TIP_Angle_x_R, JOINT_THUMB_TIP_Angle_y_R, JOINT_THUMB_TIP_Angle_z_R, JOINT_THUMB_TIP_Angle_w_R, JOINT_INDEX_BASE_Angle_x_R, JOINT_INDEX_BASE_Angle_y_R, JOINT_INDEX_BASE_Angle_z_R, JOINT_INDEX_BASE_Angle_w_R, JOINT_INDEX_JT1_Angle_x_R, JOINT_INDEX_JT1_Angle_y_R, JOINT_INDEX_JT1_Angle_z_R, JOINT_INDEX_JT1_Angle_w_R, JOINT_INDEX_JT2_Angle_x_R, JOINT_INDEX_JT2_Angle_y_R, JOINT_INDEX_JT2_Angle_z_R, JOINT_INDEX_JT2_Angle_w_R, JOINT_INDEX_TIP_Angle_x_R, JOINT_INDEX_TIP_Angle_y_R, JOINT_INDEX_TIP_Angle_z_R, JOINT_INDEX_TIP_Angle_w_R, JOINT_MIDDLE_BASE_Angle_x_R, JOINT_MIDDLE_BASE_Angle_y_R, JOINT_MIDDLE_BASE_Angle_z_R, JOINT_MIDDLE_BASE_Angle_w_R, JOINT_MIDDLE_JT1_Angle_x_R, JOINT_MIDDLE_JT1_Angle_y_R, JOINT_MIDDLE_JT1_Angle_z_R, JOINT_MIDDLE_JT1_Angle_w_R, JOINT_MIDDLE_JT2_Angle_x_R, JOINT_MIDDLE_JT2_Angle_y_R, JOINT_MIDDLE_JT2_Angle_z_R, JOINT_MIDDLE_JT2_Angle_w_R, JOINT_MIDDLE_TIP_Angle_x_R, JOINT_MIDDLE_TIP_Angle_y_R, JOINT_MIDDLE_TIP_Angle_z_R, JOINT_MIDDLE_TIP_Angle_w_R, JOINT_RING_BASE_Angle_x_R, JOINT_RING_BASE_Angle_y_R, JOINT_RING_BASE_Angle_z_R, JOINT_RING_BASE_Angle_w_R, JOINT_RING_JT1_Angle_x_R, JOINT_RING_JT1_Angle_y_R, JOINT_RING_JT1_Angle_z_R, JOINT_RING_JT1_Angle_w_R, JOINT_RING_JT2_Angle_x_R, JOINT_RING_JT2_Angle_y_R, JOINT_RING_JT2_Angle_z_R, JOINT_RING_JT2_Angle_w_R, JOINT_RING_TIP_Angle_x_R, JOINT_RING_TIP_Angle_y_R, JOINT_RING_TIP_Angle_z_R, JOINT_RING_TIP_Angle_w_R, JOINT_PINKY_BASE_Angle_x_R, JOINT_PINKY_BASE_Angle_y_R, JOINT_PINKY_BASE_Angle_z_R, JOINT_PINKY_BASE_Angle_w_R, JOINT_PINKY_JT1_Angle_x_R, JOINT_PINKY_JT1_Angle_y_R, JOINT_PINKY_JT1_Angle_z_R, JOINT_PINKY_JT1_Angle_w_R, JOINT_PINKY_JT2_Angle_x_R, JOINT_PINKY_JT2_Angle_y_R, JOINT_PINKY_JT2_Angle_z_R, JOINT_PINKY_JT2_Angle_w_R, JOINT_PINKY_TIP_Angle_x_R, JOINT_PINKY_TIP_Angle_y_R, JOINT_PINKY_TIP_Angle_z_R, JOINT_PINKY_TIP_Angle_w_R
131029684362451758, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.3002056, -0.1066746, 0.2691505, 0.9088758, 0.4975187, -8.603189E-09, 0.04975186, 0.8660254, 0.1105174, -0.01664514, 0.1590406, 0.9809256, 0, 0, -0.1478094, 0.9890159, 0.772762, 0.02090002, 0.01715032, 0.6341199, 0.6326385, 0, 0, 0.7744473, 0.5, 0, 0, 0.8660254, 0, 0, 0, 1, 0.7562635, -0.02844979, -0.02457215, 0.6531864, 0.6508018, 0, 0, 0.7592476, 0.5, 0, 0, 0.8660254, 0, 0, 0.1305262, 0.9914449, 0.4441848, -0.08648106, -0.1704206, 0.8753158, 0.4752976, 0, 0, 0.8798251, 0.4792505, 0, 0, 0.8776782, 0, 0, 0.3007058, 0.953717, 0.7282208, -0.2305777, -0.3349254, 0.5516824, 0.6593398, 0, 0, 0.7518451, 0.5, 0, 0, 0.8660254
131029684367132555, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.3165385, -0.1056339, 0.2686689, 0.9035828, 0.4727096, 0, 0.04727096, 0.8799495, 0.1548489, -0.02332195, 0.1625603, 0.974193, 0, 0, -0.1478094, 0.9890159, 0.7700168, 0.02288224, 0.01893931, 0.6373318, 0.629077, 0, 0, 0.777343, 0.5, 0, 0, 0.8660254, 0, 0, 0, 1, 0.7541572, -0.02759225, -0.02398911, 0.6556753, 0.6417338, 0, 0, 0.7669274, 0.5, 0, 0, 0.8660254, 0, 0, 0.1305262, 0.9914449, 0.4408341, -0.0825213, -0.1644546, 0.8785273, 0.4724673, 0, 0, 0.8813483, 0.4810801, 0, 0, 0.8766766, 0, 0, 0.3007058, 0.953717, 0.7009892, -0.2387211, -0.3513961, 0.5728414, 0.6379738, 0, 0, 0.770058, 0.5, 0, 0, 0.8660254
131029684367466898, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.3411058, -0.09681574, 0.2606945, 0.8979487, 0.4536752, 0, 0.04536753, 0.8900115, 0.1651869, -0.02487897, 0.1633362, 0.9723248, 0, 0, -0.1478094, 0.9890159, 0.03757805, 0.005791551, 0.152212, 0.9876163, 0.6435305, 0, 0, 0.7654204, 0.2010442, 0, 0, 0.9795822, 0, 0, 0, 1, 0.08484615, -0.003704462, -0.0434618, 0.9954388, 0.6856279, 0, 0, 0.7279521, 0.3115395, 0, 0, 0.9502332, 0, 0, 0.1305262, 0.9914449, 0.09801275, -0.02626244, -0.2574832, 0.9609402, 0.512785, 0, 0, 0.8585171, 0.2318864, 0, 0, 0.9727429, 0, 0, 0.3007058, 0.953717, 0.1503259, -0.05270226, -0.3554562, 0.9210187, 0.6067199, 0, 0, 0.7949157, 0.2483117, 0, 0, 0.9686802
131029684367968412, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.3851192, -0.07205428, 0.2395274, 0.8883232, 0.3942849, -8.114845E-09, 0.03942847, 0.9181421, 0.2027826, -0.03054129, 0.1660124, 0.9645653, 0, 0, -0.1478094, 0.9890159, 0.02717617, 0.004814643, 0.1743812, 0.9842914, 0.6013058, 0, 0, 0.799019, 0.2379094, 0, 0, 0.9712874, 0, 0, 0, 1, 0.06680218, -0.001556306, -0.02323886, 0.9974943, 0.6774449, 0, 0, 0.7355735, 0.3064601, 0, 0, 0.9518835, 0, 0, 0.1305262, 0.9914449, 0.08776342, -0.02300678, -0.2525314, 0.9633256, 0.4977829, 0, 0, 0.8673016, 0.2392658, 0, 0, 0.9709541, 0, 0, 0.3007058, 0.953717, 0.1614525, -0.05529485, -0.3507523, 0.9207869, 0.5622967, 0, 0, 0.8269356, 0.2515863, 0, 0, 0.9678348
131029684368469926, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.3061339, -0.06272511, 0.2169135, 0.9248222, 0.3719955, 0, 0.03719955, 0.9274889, 0.207031, -0.03118116, 0.1663003, 0.9635923, 0, 0, -0.1478094, 0.9890159, -8.779879E-05, -1.73306E-05, 0.1936534, 0.98107, 0.6006956, 0, 0, 0.7994778, 0.2435865, 0, 0, 0.9698792, 0, 0, 0, 1, 0.06321799, -2.94263E-05, -0.0004645424, 0.9979996, 0.6761725, 0, 0, 0.7367433, 0.3073252, 0, 0, 0.9516045, 0, 0, 0.1305262, 0.9914449, 0.0815719, -0.01974375, -0.2344183, 0.9685062, 0.5092726, 0, 0, 0.8606052, 0.233729, 0, 0, 0.9723018, 0, 0, 0.3007058, 0.953717, 0.1497422, -0.04890512, -0.3362561, 0.9285027, 0.5880358, 0, 0, 0.8088349, 0.235188, 0, 0, 0.9719499
131029684368637098, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -0.5372996, 0.8433914, 0.5410131, -0.1920714, 0.3550788, 0.7377889, 0.02766586, 4.658414E-10, 0.002766568, 0.9996134, -0.03285874, 0.004948888, 0.1455624, 0.9887909, 0, 0, -0.1478094, 0.9890159, 0.620092, -0.01623769, -0.02053219, 0.7840922, 0.09679667, 0, 0, 0.9953042, 0, 0, 0, 1, 0, 0, 0, 1, 0.5279589, -0.02305118, -0.03703099, 0.848149, 0.0634179, 0, 0, 0.9979871, 0.4390482, 0, 0, 0.8984635, 0, 0, 0.1305262, 0.9914449, 0.4368558, -0.105805, -0.2102719, 0.8681867, 0.4995301, 0, 0, 0.8662965, 0.4752621, 0, 0, 0.8798442, 0, 0, 0.3007058, 0.953717, 0.4046401, -0.08448556, -0.2614263, 0.8722298, 0.5850476, 0, 0, 0.8109989, 0.1908577, 0, 0, 0.9816177
